term,freq
全文检索,82101
反垄断法,81386
证券法,80999
笔录,80668
国家旅游局,80245
弄虚作假,79999
公司债券,79455
资产负债表,78937
最终解释权,78924
古希腊,77960
列席,77480
个体工商户,77132
加工贸易,76768
判决书,76150
强制执行,74825
控股公司,74797
企业制度,74439
中签,74364
委托代理人,72968
控告,71748
法律文件,69349
泄密,67543
中国农业银行,67119
变更登记,66757
年终奖,66423
胁迫,66214
垫付,66176
规范性文件,65947
排放标准,65601
废止,65154
暂行规定,64847
劳动和社会保障部,63600
牟利,63496
中国社会科学院,63207
联营,62748
要件,62223
婚约,61890
保险合同,61572
执行董事,61222
嫖客,60810
驻外,60660
划转,60553
农村信用社,60502
行为规范,59529
房屋拆迁,59294
承兑,59081
发展研究中心,58841
娱乐活动,58785
轮奸,57811
宅基地,57691
青霉素,57524
小产权,57007
执业证,56802
医疗事故,56643
违约责任,56447
集体经济,56338
未遂,56179
挂靠,55973
现代企业制度,55793
土地出让金,55750
中国政法大学,55530
中央党校,55504
安全局,55142
前提条件,53567
承包经营,53055
股份制企业,52677
迎刃而解,52621
市纪委,52543
非机动车,52250
股息,52100
商业企业,51458
感化,51325
改革试点,51172
优惠价格,50258
拘捕,49731
基本养老保险,49214
特别规定,49171
懈怠,49113
滥用职权,49019
农业税,48801
专利产品,48135
拆迁人,48081
一级市场,48043
名胜古迹,47191
刑事辩护,47159
仓单,47032
香港特别行政区,46948
犯罪团伙,46830
虚假广告,46775
工业产品,46711
内幕交易,46528
中国工程院,46446
剥夺政治权利,46165
应诉,46109
个体户,46075
被执行人,46073
招标投标,46072
假药,45999
赔礼道歉,45917
稳步增长,45319
地方法,45015
法制办,44625
小产权房,44545
要约收购,43399
社会公德,43231
统战部,42430
依法治国,42395
履行合同,42386
责任保险,41989
自告,41810
经国务院批准,41695
吸收合并,41492
促进社会和谐,41388
诈骗罪,40930
专门委员会,40700
房地产开发公司,40565
国务院发展研究中心,40533
强制措施,40503
经研究,40150
有价证券,40011
挪用公款,39874
区别对待,39802
非法经营,38950
价值判断,38730
袭警,38725
国家工作人员,38580
质量技术监督局,38295
区公安分局,38236
资源税,37787
伪劣产品,37671
存单,37641
结构优化,37316
新闻办公室,37209
垄断行业,37126
致残,37026
民事行为能力,36622
赝品,36524
债权债务,36482
村民委员会,36403
保险单,35963
基本农田,35963
产权制度,35361
经济价值,35288
议定书,35267
男女平等,35179
前手,35121
商业保险,34749
保险代理,34435
错漏,34339
监督权,34139
公司合并,33875
中级法院,33776
税收优惠政策,33429
国家产业政策,33223
国家开发银行,32983
慰问金,32741
没收违法所得,32710
保险金额,32525
约瑟夫,32368
扭亏为盈,32231
个体经营,32126
劳务派遣,32084
社会治安综合治理,32077
遣返,32069
道路交通安全法,31984
签章,31761
地方性法规,31503
经济犯罪,31456
贸易壁垒,30888
转包,30653
肖像权,30374
安全监督,30150
公务员法,30005
股权转让协议,29940
违章建筑,29768
常任理事国,29663
涉案金额,29534
审判长,29161
工商注册,29099
企业效益,29037
批准文号,28969
裁定书,28891
严重程度,28682
民事案件,28603
土地利用总体规划,27932
企业债券,27686
仲裁机构,27131
参考文献,27032
保险法,26993
建设用地使用权,26878
聚氯乙烯,26629
专利法,26419
新华通讯社,26248
被拆迁人,26144
小企业融资,26016
路德,25906
漏税,25856
承包经营权,25845
职工代表大会,25692
会计法,25596
不称职,25383
下岗工人,25380
规划许可证,25233
依法查处,25214
全国人民代表大会常务委员,24693
仲裁裁决,24425
公务员录用,24339
转让合同,24256
公职人员,24243
产品质量监督,24210
用工单位,24167
机关单位,24055
出口加工区,23842
苏格拉底,23828
亲生父母,23753
专款专用,23655
假冒伪劣产品,23550
牟取暴利,23539
国家股,23469
模棱两可,23236
保险经纪,23138
国家机关工作人员,22916
执行公务,22885
一审法院,22870
中国注册会计师,22851
工会工作,22771
法律监督,22705
登记制度,22573
产权登记,22350
承担连带责任,22336
维持原判,22172
代扣代缴,21824
保险事故,21655
软着陆,21597
执法行为,21562
土地管理法,21498
可转换债券,21453
规模效益,21298
土地承包经营权,21223
转让方,21184
证券投资基金法,21156
注销登记,21030
权利要求,21006
法律地位,20857
国有股减持,20787
中央军事委员会,20570
市场参与者,20550
行纪,20532
执行程序,20463
行为模式,20460
广播影视,20453
法律职业,20400
违法经营,20364
房屋权属,20097
经济贸易委员会,20031
恪尽职守,20029
利用职务之便,19986
廉租住房制度,19965
常住户口,19913
土地登记,19689
违法乱纪,19639
职业安全,19594
代理协议,19482
工业增加值,19424
国务院法制办,19369
审判员,18994
人民政治协商会议,18954
发生法律效力,18943
国家版权局,18940
证券业协会,18807
先占,18763
学位委员会,18727
中国人民政治协商会议,18619
实用新型专利,18486
中医医院,18467
非法拘禁,18434
财产保全,18191
引咎辞职,17963
安全生产法,17962
专有技术,17708
房地产法,17443
抵偿,17433
违法广告,17396
制空权,17317
占道经营,17297
赢利能力,17292
自负盈亏,17242
判决生效,17213
专利权人,17188
披露制度,17057
民事裁定,16995
企业合并,16859
中医药管理局,16772
国务院新闻办公室,16755
收购兼并,16702
法治国家,16612
银行承兑汇票,16590
新开工项目,16577
卢梭,16502
操纵市场,16491
全部到位,16444
保险条款,16441
中介人,16390
编委会,16387
占用资金,16385
民事纠纷,16275
非法行医,16249
欠缴,16241
工商营业执照,16234
首席运营官,16200
矿业权,16165
植物检疫,16121
保险代理人,16074
价格法,16018
法院强制执行,15866
第一审,15727
违约行为,15722
企业家协会,15716
劳动用工,15703
一上班,15693
非专业人士,15668
从重处罚,15573
治安管理处罚法,15557
制定法,15424
法律文化,15348
遗产税,15263
特别法,15222
诉前,15191
协议转让,15060
案值,15007
农民集体,14996
大陆法,14984
妇女权益,14955
股东大会议事规则,14933
认证标志,14926
特别授权,14920
窃电,14914
旅游合同,14704
国家中医药管理局,14686
泡沫经济,14624
入室盗窃,14555
从犯,14410
主任科员,14382
连带责任保证,14361
增值税发票,14278
监视居住,14210
项目融资,14183
没收财产,14157
一夫一妻制,14138
野生植物,14136
信用保险,14119
国际条约,14109
非法行为,14107
侵权产品,13979
完全民事行为能力,13911
国务院学位委员会,13857
郑州日产,13839
危险源,13832
二审法院,13739
物业服务企业,13679
网络传播权,13661
木石,13633
消除影响,13573
房地产抵押,13479
占住,13409
产权制度改革,13403
公共航空运输企业,13398
管制刀具,13300
债务承担,13256
优化资源配置,13219
保险费率,13212
无性婚姻,13192
国家经济贸易委员会,13163
中国证券业协会,13141
可行性报告,13098
合同诈骗,13091
农村土地承包,13058
进出口经营权,13032
舒伯特,13022
委托合同,12966
优惠待遇,12876
国家机构,12848
上市公司收购,12810
保险监管,12797
军队转业干部,12783
国家工商行政管理局,12773
医疗改革,12738
财产分割,12632
居住权,12605
资产保值增值,12597
执法为民,12560
民办非企业单位,12535
国有独资公司,12525
价格欺诈,12505
中华全国总工会,12496
注册会计师协会,12482
交通事故责任强制保险,12420
保险标的,12364
拖欠工程款,12354
离婚协议书,12260
公债,12190
扭送,12176
改过自新,12163
贿赂案,12159
新颖性,12139
制度规范,12129
断头台,12058
信访办,12002
机动车交通事故责任强制保险,11976
监督体系,11923
临时价格干预,11875
规范行为,11864
专利侵权,11792
大陆法系,11740
公费医疗,11717
市场法,11634
城市居民最低生活保障,11627
项目执行,11608
遗产继承,11594
未成年子女,11561
战争罪,11552
中法网学校,11552
价格形成机制,11445
药品管理法,11405
中国人民保险公司,11314
港澳台同胞,11312
平衡发展,11291
少管所,11221
土地使用权出让合同,11217
共青团工作,11205
未成年人保护法,11169
职务侵占,11140
社会危害性,11092
洽商,11087
授权经营,11044
中华全国律师协会,10971
价格违法行为,10969
市场准入制度,10872
挪用公款罪,10784
婚前财产,10768
垄断行为,10768
非银行金融机构,10706
强制性规定,10683
农转非,10676
乘人之危,10659
年薪制,10617
国家烟草专卖局,10602
部门法,10569
人民币升值压力,10552
法医学,10522
地方法规,10522
审判监督,10513
治安处罚,10452
治安管理处罚条例,10433
网络犯罪,10411
现金价值,10305
企业兼并,10298
国家安全部,10270
诱奸,10234
司法改革,10177
国库券,10156
性暴力,10104
注册商标专用权,10104
宽限期,10068
贿赂犯罪,10059
国际经济法,10032
